序号    　　　电影名称　　　	　　　　评分　　　　	　　　　　　短评　　　　　　
205   　终结者2：审判日　	　　　8.6　　　　	少见的超越首部的续集，动作片中的经典。
206   　　你的名字。　　　	　　　8.4　　　　	穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
207   　　　海盗电台　　　	　　　8.6　　　　	　　生命不止，摇滚不死。　　
208   黑客帝国3：矩阵革命	　　　8.5　　　　	不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
209   　　　绿里奇迹　　　	　　　8.7　　　　	　　　天使暂时离开。　　　　
210   　　新龙门客栈　　　	　　　8.5　　　　	　　嬉笑怒骂，调风动月。　　
211   　　勇闯夺命岛　　　	　　　8.5　　　　	　　　类型片的极致。 　　　
212   　这个男人来自地球　	　　　8.5　　　　	科幻真正的魅力不是视觉效果能取代的。 
213   　　　无人知晓　　　	　　　9.0　　　　	我的平常生活就是他人的幸福。
214   　　卡萨布兰卡　　　	　　　8.6　　　　	世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。
215   　　　城市之光　　　	　　　9.2　　　　	永远的小人物，伟大的卓别林。
216   　　　　变脸　　　　	　　　8.4　　　　	当发哥的风衣、墨镜出现在了凯奇身上⋯⋯
217   　　　无耻混蛋　　　	　　　8.4　　　　	昆汀同学越来越变态了，比北野武还杜琪峰。
218   　　初恋这件小事　　	　　　8.3　　　　	　　黑小鸭速效美白记。　　　
219   　　完美陌生人　　　	　　　8.6　　　　	　　　　　　无　　　　　　　
220   　　　发条橙　　　　	　　　8.4　　　　	　　　我完全康复了。　　　　
221   　E.T. 外星人　	　　　	      8.5　　　　	生病的E.T.皮肤的颜色就像柿子饼。
222   　　黄金三镖客　　　	　　　9.1　　　　	　　　最棒的西部片。　　　　
223   　　　荒野生存　　　	　　　8.6　　　　	　　出门必备：本草纲目。　　
224   　　　美国丽人　　　	　　　8.4　　　　	每个人的内心都是深不可测的大海。 
225   　　　迁徙的鸟　　　	　　　9.1　　　　	　　　　最美的飞翔。　　　　
226   　爱在午夜降临前　　	　　　8.8　　　　	所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
227   　　　英国病人　　　	　　　8.4　　　　	In memory, love lives forever...
228   　　疯狂的石头　　　	　　　8.3　　　　	　中国版《两杆大烟枪》。　　
229   　　　燕尾蝶　　　　	　　　8.6　　　　	现实与童话交相辉映的旅程。　
230   　　　步履不停　　　	　　　8.8　　　　	日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
231   　　非常嫌疑犯　　　	　　　8.6　　　　	我不信仰上帝，但我敬畏上帝。
232   　　无敌破坏王　　　	　　　8.6　　　　	迪士尼和皮克斯拿错剧本的产物。
233   　　　　勇士　　　　	　　　8.9　　　　	热血沸腾，相当完美的娱乐拳击大餐。
234   　　叫我第一名　　　	　　　8.6　　　　	　　乐观比一切都有力量。　　
235   　　　穆赫兰道　　　	　　　8.3　　　　	　大卫·林奇的梦境迷宫。　　
236   　　国王的演讲　　　	　　　8.3　　　　	　　　　皇上无话儿。　　　　
237   　彗星来的那一夜　　	　　　8.4　　　　	　　　小成本大魅力。　　　　
238   　　　　血钻　　　　	　　　8.5　　　　	每个美丽事物背后都是滴血的现实。
239   　　上帝也疯狂　　　	　　　8.6　　　　	　　纯净原始的笑与感动。　　
240   　　　　枪火　　　　	　　　8.6　　　　	一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。
241   　　　　聚焦　　　　	　　　8.8　　　　	　　　　　　无　　　　　　　
242   　　　我爱你　　　　	　　　9.0　　　　	你要相信，这世上真的有爱存在，不管在什么年纪 
243   　　　遗愿清单　　　	　　　8.5　　　　	用剩余不多的时间，去燃烧整个生命。
244   　大卫·戈尔的一生　	　　　8.6　　　　	捍卫人权只是信仰，一点不妨碍其行为的残忍。
245   　　　蓝色大门　　　	　　　8.3　　　　	　　青春的窃窃私语。 　　　
246   　　　海街日记　　　	　　　8.6　　　　	　　　　　　无　　　　　　　
247   　　　荒岛余生　　　	　　　8.5　　　　	　　　一个人的独角戏。　　　
248   　　　黑鹰坠落　　　	　　　8.5　　　　	　还原真实而残酷的战争。　　
249   　　　千钧一发　　　	　　　8.7　　　　	一部能引人思考的科幻励志片。
250   　　　爱·回家　　　	　　　9.0　　　　	　　献给所有外婆的电影。　　
